Country Name,Country Code,Series Name,Series Code,1993 [YR1993],1997 [YR1997],2001 [YR2001],2005 [YR2005],2009 [YR2009],2013 [YR2013],2017 [YR2017],2020 [YR2020]
Bosnia and Herzegovina,BIH,"Population, total",SP.POP.TOTL,4078940,3736070,3755514,3765332,3735945,3542598,3351534,3280815
Bosnia and Herzegovina,BIH,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,..,852.68143018661,1525.77099368377,2783.52944098993,4274.38478355139,4322.44739998905,4487.34437795547,5059.27672498212
Botswana,BWA,GDP (current US$),NY.GDP.MKTP.CD,4160086253.1468,5020214747.45261,5489608299.66445,9918907108.09702,10267133177.7334,14901750991.2012,16088437675.1648,14930072799.0084
Botswana,BWA,"Population, total",SP.POP.TOTL,1399110,1540424,1674674,1799077,1953495,2062551,2205076,2351625
Botswana,BWA,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,2750.85655274153,2725.6927091494,2834.36148478168,3957.42437189867,3865.97411912168,5288.0112661205,5763.35758596366,5015.65053478786
Brazil,BRA,GDP (current US$),NY.GDP.MKTP.CD,368295777770.079,883206452795.124,559983704094.17,891633826603.377,1666996294372.87,2472819362216.69,2063514688761.98,1448565936739.56
Brazil,BRA,"Population, total",SP.POP.TOTL,156849086,167209046,177196051,186127108,193886505,201035904,207833825,212559409
Brazil,BRA,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,2032.88656301485,4576.16441262023,2697.89584128276,4042.42457022932,7405.96730913939,10617.9076372047,8574.77696864069,5801.14483388571
British Virgin Islands,VGB,GDP (current US$),NY.GDP.MKTP.CD,..,..,..,..,..,..,..,..
British Virgin Islands,VGB,"Population, total",SP.POP.TOTL,18783,19660,20675,23106,27035,28850,29567,30237
British Virgin Islands,VGB,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,..,..,..,..,..,..,..,..
Brunei Darussalam,BRN,GDP (current US$),NY.GDP.MKTP.CD,4105706151.75145,5197332974.13793,5601090584.36122,9531402847.87311,10732366286.2643,18093829923.2737,12128104859.1498,12005825769.5087
Brunei Darussalam,BRN,"Population, total",SP.POP.TOTL,281684,311962,340037,365112,383902,404414,424481,437483
Brunei Darussalam,BRN,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,11428.4265182542,12987.0857876602,12117.6594998652,17787.1362540808,21426.5380409241,33604.5358678382,24386.1914550722,22332.3775024966
Bulgaria,BGR,GDP (current US$),NY.GDP.MKTP.CD,10829710144.9275,11315986087.1633,14183497963.1071,29869283400.0381,52023504656.2878,55810138436.4821,59199447421.4924,69889347433.4324
Bulgaria,BGR,"Population, total",SP.POP.TOTL,8472313,8312068,8009142,7658972,7444443,7265115,7075947,6934015
Bulgaria,BGR,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,1079.86944342138,1231.08788515255,1546.33251774678,3322.1289530834,5759.73128062308,6421.40970851494,6971.01876209471,8440.09964865379
Burkina Faso,BFA,GDP (current US$),NY.GDP.MKTP.CD,3199536227.94818,2447668984.53131,3190371050.45524,6146352742.03313,9450697335.53565,13444301139.1384,14106956830.0857,17933606353.1775
Burkina Faso,BFA,"Population, total",SP.POP.TOTL,9552473,10665552,11944589,13421935,15141098,17072791,19193236,20903278
Burkina Faso,BFA,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,307.860278968929,210.769836873852,249.222568656849,420.245179389313,557.050888135915,680.496599984917,635.405871846024,701.500513174895
