,Country Name,Country Code,Series Name,YR1993,YR1997,YR2001,YR2005,YR2009,YR2013,YR2017,YR2020
51,Belarus,BLR,GDP,16280991735.5372,14128408565.7064,12354820143.8849,30207567316.6202,50874078052.2735,75527984234.2342,54726595249.1849,61489588894.8211
52,Belarus,BLR,POP,10239050,10117433,9928549,9663915,9504583,9443211,9458989,9379952
53,Belarus,BLR,INC,..,1185.40521579803,1070.64189948651,2703.83132931628,4525.76206660274,6562.33436288645,4751.75820739432,5148.3229130713
54,Belgium,BEL,GDP,224721795708.955,252708051420.839,236746141604.37,385714762230.039,483254171097.812,521791015247.06,502764720556.354,521676942134.632
55,Belgium,BEL,POP,10084475,10181245,10286570,10478617,10796493,11159407,11375158,11544241
56,Belgium,BEL,INC,19163.5340717146,21438.4678960653,19518.908125774,30753.8150992693,36699.1612769517,38719.1740799608,36240.0579176753,36490.7377866622
57,Belize,BLZ,GDP,560205300,654582900,871590369.32848,1111453823.62023,1320605471.63149,1581844936.42351,1844906692.53913,1585631670.3461
58,Belize,BLZ,POP,197625,221575,255068,283798,314655,345707,375775,397621
59,Belize,BLZ,INC,2553.24957869827,2697.64403599994,2633.17999878257,2893.61236675656,3088.1540553374,3351.62974674655,3797.46905306308,3219.7212181173
60,Benin,BEN,GDP,2274557914.07481,2268301537.65128,3666222600.09828,6567654493.50831,9738626993.27696,12517845732.2095,12701654743.2149,15651545331.5404
61,Benin,BEN,POP,5521761,6281644,7076728,7982223,8944713,10004594,11175192,12123198
62,Benin,BEN,INC,328.159009903404,263.504083808769,424.357224115416,704.997367764836,927.650730123401,1102.27389711219,1003.13166221777,1133.39984671112
63,Bermuda,BMU,GDP,1820359900,2932827000,3680483000,4868136000,6656000000,6465756000,7142316000,6881662000
64,Bermuda,BMU,POP,58910,60497,62504,64154,65636,65001,63873,63893
65,Bermuda,BMU,INC,..,..,..,..,..,..,..,..
66,Bhutan,BTN,GDP,225998091.177435,352260952.905536,461444513.66815,796938120.181406,1234014291.82342,1756215665.09323,2450364928.07302,2315436303.29988
67,Bhutan,BTN,POP,532590,551713,603643,648744,678329,710235,745563,771612
68,Bhutan,BTN,INC,324.253693910261,514.005078804569,683.739194004307,1087.77345402791,1537.94883620575,2032.25821745474,2640.87278010304,2482.57459834552
69,Bolivia,BOL,GDP,5734676631.26304,7925673467.44571,8141537877.06791,9549077918.69677,17339992193.7322,30659338885.6729,37508642170.767,36629843806.0781
70,Bolivia,BOL,POP,7312857,7937453,8580244,9232301,9884790,10542375,11192853,11673029
71,Bolivia,BOL,INC,695.1029741532,893.93081104867,826.245292926642,818.161999962666,1464.30140512077,2263.06595776912,2802.57343821947,2676.57665595877
72,Bosnia and Herzegovina,BIH,GDP,..,3671816504.23851,5800774707.17423,11222953328.6704,17613836494.0692,18172335776.3301,18079076426.8667,19955120004.6604
