,Year,Datetime,Home Team Name,Away Team Name,Home Team Goals,Away Team Goals
559,1998,25 Jun 1998 - 21:00 ,USA,Yugoslavia,0.0,1.0
560,1998,26 Jun 1998 - 16:00 ,Japan,Jamaica,1.0,2.0
561,1998,26 Jun 1998 - 16:00 ,Argentina,Croatia,1.0,0.0
562,1998,26 Jun 1998 - 21:00 ,Romania,Tunisia,1.0,1.0
563,1998,26 Jun 1998 - 21:00 ,Colombia,England,0.0,2.0
564,1998,27 Jun 1998 - 16:30 ,Italy,Norway,1.0,0.0
565,1998,27 Jun 1998 - 21:00 ,Brazil,Chile,4.0,1.0
566,1998,28 Jun 1998 - 16:30 ,France,Paraguay,1.0,0.0
567,1998,28 Jun 1998 - 21:00 ,Nigeria,Denmark,1.0,4.0
568,1998,29 Jun 1998 - 16:30 ,Germany,Mexico,2.0,1.0
569,1998,29 Jun 1998 - 21:00 ,Netherlands,Yugoslavia,2.0,1.0
570,1998,30 Jun 1998 - 16:30 ,Romania,Croatia,0.0,1.0
571,1998,30 Jun 1998 - 21:00 ,Argentina,England,2.0,2.0
572,1998,03 Jul 1998 - 16:30 ,Italy,France,0.0,0.0
573,1998,03 Jul 1998 - 21:00 ,Brazil,Denmark,3.0,2.0
574,1998,04 Jul 1998 - 16:30 ,Netherlands,Argentina,2.0,1.0
575,1998,04 Jul 1998 - 21:00 ,Germany,Croatia,0.0,3.0
576,1998,07 Jul 1998 - 21:00 ,Brazil,Netherlands,1.0,1.0
577,1998,08 Jul 1998 - 21:00 ,France,Croatia,2.0,1.0
578,1998,11 Jul 1998 - 21:00 ,Netherlands,Croatia,1.0,2.0
579,1998,12 Jul 1998 - 21:00 ,Brazil,France,0.0,3.0
580,2002,31 May 2002 - 20:30 ,France,Senegal,0.0,1.0
581,2002,01 Jun 2002 - 18:00 ,Uruguay,Denmark,1.0,2.0
582,2002,01 Jun 2002 - 15:30 ,"rn"">Republic of Ireland",Cameroon,1.0,1.0
583,2002,01 Jun 2002 - 20:30 ,Germany,Saudi Arabia,8.0,0.0
584,2002,02 Jun 2002 - 14:30 ,Argentina,Nigeria,1.0,0.0
585,2002,02 Jun 2002 - 16:30 ,Paraguay,South Africa,2.0,2.0
586,2002,02 Jun 2002 - 18:30 ,England,Sweden,1.0,1.0
587,2002,02 Jun 2002 - 20:30 ,Spain,Slovenia,3.0,1.0
588,2002,03 Jun 2002 - 18:00 ,Brazil,Turkey,2.0,1.0
589,2002,03 Jun 2002 - 20:30 ,Italy,Ecuador,2.0,0.0
590,2002,03 Jun 2002 - 15:30 ,Croatia,Mexico,0.0,1.0
591,2002,04 Jun 2002 - 15:30 ,China PR,Costa Rica,0.0,2.0
592,2002,04 Jun 2002 - 18:00 ,Japan,Belgium,2.0,2.0
593,2002,04 Jun 2002 - 20:30 ,Korea Republic,Poland,2.0,0.0
594,2002,05 Jun 2002 - 15:30 ,Russia,Tunisia,2.0,0.0
595,2002,05 Jun 2002 - 18:00 ,USA,Portugal,3.0,2.0
596,2002,05 Jun 2002 - 20:30 ,Germany,"rn"">Republic of Ireland",1.0,1.0
597,2002,06 Jun 2002 - 15:30 ,Denmark,Senegal,1.0,1.0
598,2002,06 Jun 2002 - 18:00 ,Cameroon,Saudi Arabia,1.0,0.0
599,2002,06 Jun 2002 - 20:30 ,France,Uruguay,0.0,0.0
600,2002,07 Jun 2002 - 15:30 ,Sweden,Nigeria,2.0,1.0
601,2002,07 Jun 2002 - 20:30 ,Argentina,England,0.0,1.0
602,2002,07 Jun 2002 - 18:00 ,Spain,Paraguay,3.0,1.0
603,2002,08 Jun 2002 - 15:30 ,South Africa,Slovenia,1.0,0.0
604,2002,08 Jun 2002 - 20:30 ,Brazil,China PR,4.0,0.0
605,2002,08 Jun 2002 - 18:00 ,Italy,Croatia,1.0,2.0
606,2002,09 Jun 2002 - 18:00 ,Costa Rica,Turkey,1.0,1.0
607,2002,09 Jun 2002 - 20:30 ,Japan,Russia,1.0,0.0
608,2002,09 Jun 2002 - 15:30 ,Mexico,Ecuador,2.0,1.0
609,2002,10 Jun 2002 - 15:30 ,Korea Republic,USA,1.0,1.0
610,2002,10 Jun 2002 - 20:30 ,Portugal,Poland,4.0,0.0
611,2002,10 Jun 2002 - 18:00 ,Tunisia,Belgium,1.0,1.0
612,2002,11 Jun 2002 - 15:30 ,Denmark,France,2.0,0.0
613,2002,11 Jun 2002 - 15:30 ,Senegal,Uruguay,3.0,3.0
614,2002,11 Jun 2002 - 20:30 ,Saudi Arabia,"rn"">Republic of Ireland",0.0,3.0
615,2002,11 Jun 2002 - 20:30 ,Cameroon,Germany,0.0,2.0
616,2002,12 Jun 2002 - 15:30 ,Sweden,Argentina,1.0,1.0
617,2002,12 Jun 2002 - 15:30 ,Nigeria,England,0.0,0.0
618,2002,12 Jun 2002 - 20:30 ,Slovenia,Paraguay,1.0,3.0
619,2002,12 Jun 2002 - 20:30 ,South Africa,Spain,2.0,3.0
620,2002,13 Jun 2002 - 15:30 ,Costa Rica,Brazil,2.0,5.0
621,2002,13 Jun 2002 - 15:30 ,Turkey,China PR,3.0,0.0
622,2002,13 Jun 2002 - 20:30 ,Ecuador,Croatia,1.0,0.0
623,2002,13 Jun 2002 - 20:30 ,Mexico,Italy,1.0,1.0
624,2002,14 Jun 2002 - 15:30 ,Tunisia,Japan,0.0,2.0
625,2002,14 Jun 2002 - 20:30 ,Portugal,Korea Republic,0.0,1.0
626,2002,14 Jun 2002 - 20:30 ,Poland,USA,3.0,1.0
627,2002,14 Jun 2002 - 15:30 ,Belgium,Russia,3.0,2.0
628,2002,15 Jun 2002 - 20:30 ,Denmark,England,0.0,3.0
629,2002,15 Jun 2002 - 15:30 ,Germany,Paraguay,1.0,0.0
630,2002,16 Jun 2002 - 20:30 ,Spain,"rn"">Republic of Ireland",1.0,1.0
631,2002,16 Jun 2002 - 15:30 ,Sweden,Senegal,1.0,2.0
632,2002,17 Jun 2002 - 20:30 ,Brazil,Belgium,2.0,0.0
633,2002,17 Jun 2002 - 15:30 ,Mexico,USA,0.0,2.0
634,2002,18 Jun 2002 - 15:30 ,Japan,Turkey,0.0,1.0
635,2002,18 Jun 2002 - 20:30 ,Korea Republic,Italy,2.0,1.0
636,2002,21 Jun 2002 - 15:30 ,England,Brazil,1.0,2.0
637,2002,21 Jun 2002 - 20:30 ,Germany,USA,1.0,0.0
638,2002,22 Jun 2002 - 20:30 ,Senegal,Turkey,0.0,1.0
639,2002,22 Jun 2002 - 15:30 ,Spain,Korea Republic,0.0,0.0
640,2002,25 Jun 2002 - 20:30 ,Germany,Korea Republic,1.0,0.0
641,2002,26 Jun 2002 - 20:30 ,Brazil,Turkey,1.0,0.0
642,2002,29 Jun 2002 - 20:00 ,Korea Republic,Turkey,2.0,3.0
643,2002,30 Jun 2002 - 20:00 ,Germany,Brazil,0.0,2.0
644,2006,09 Jun 2006 - 18:00 ,Germany,Costa Rica,4.0,2.0
645,2006,09 Jun 2006 - 21:00 ,Poland,Ecuador,0.0,2.0
646,2006,10 Jun 2006 - 15:00 ,England,Paraguay,1.0,0.0
647,2006,10 Jun 2006 - 18:00 ,"rn"">Trinidad and Tobago",Sweden,0.0,0.0
648,2006,10 Jun 2006 - 21:00 ,Argentina,C�te d'Ivoire,2.0,1.0
649,2006,11 Jun 2006 - 15:00 ,"rn"">Serbia and Montenegro",Netherlands,0.0,1.0
650,2006,11 Jun 2006 - 18:00 ,Mexico,Iran,3.0,1.0
651,2006,11 Jun 2006 - 21:00 ,Angola,Portugal,0.0,1.0
652,2006,12 Jun 2006 - 15:00 ,Australia,Japan,3.0,1.0
653,2006,12 Jun 2006 - 18:00 ,USA,Czech Republic,0.0,3.0
654,2006,12 Jun 2006 - 21:00 ,Italy,Ghana,2.0,0.0
655,2006,13 Jun 2006 - 15:00 ,Korea Republic,Togo,2.0,1.0
656,2006,13 Jun 2006 - 18:00 ,France,Switzerland,0.0,0.0
657,2006,13 Jun 2006 - 21:00 ,Brazil,Croatia,1.0,0.0
658,2006,14 Jun 2006 - 15:00 ,Spain,Ukraine,4.0,0.0
659,2006,14 Jun 2006 - 18:00 ,Tunisia,Saudi Arabia,2.0,2.0
660,2006,14 Jun 2006 - 21:00 ,Germany,Poland,1.0,0.0
661,2006,15 Jun 2006 - 15:00 ,Ecuador,Costa Rica,3.0,0.0
662,2006,15 Jun 2006 - 18:00 ,England,"rn"">Trinidad and Tobago",2.0,0.0
663,2006,15 Jun 2006 - 21:00 ,Sweden,Paraguay,1.0,0.0
664,2006,16 Jun 2006 - 15:00 ,Argentina,"rn"">Serbia and Montenegro",6.0,0.0
665,2006,16 Jun 2006 - 18:00 ,Netherlands,C�te d'Ivoire,2.0,1.0
666,2006,16 Jun 2006 - 21:00 ,Mexico,Angola,0.0,0.0
667,2006,17 Jun 2006 - 15:00 ,Portugal,IR Iran,2.0,0.0
668,2006,17 Jun 2006 - 18:00 ,Czech Republic,Ghana,0.0,2.0
669,2006,17 Jun 2006 - 21:00 ,Italy,USA,1.0,1.0
670,2006,18 Jun 2006 - 15:00 ,Japan,Croatia,0.0,0.0
671,2006,18 Jun 2006 - 18:00 ,Brazil,Australia,2.0,0.0
672,2006,18 Jun 2006 - 21:00 ,France,Korea Republic,1.0,1.0
673,2006,19 Jun 2006 - 15:00 ,Togo,Switzerland,0.0,2.0
674,2006,19 Jun 2006 - 18:00 ,Saudi Arabia,Ukraine,0.0,4.0
675,2006,19 Jun 2006 - 21:00 ,Spain,Tunisia,3.0,1.0
676,2006,20 Jun 2006 - 16:00 ,Ecuador,Germany,0.0,3.0
677,2006,20 Jun 2006 - 16:00 ,Costa Rica,Poland,1.0,2.0
678,2006,20 Jun 2006 - 21:00 ,Sweden,England,2.0,2.0
679,2006,20 Jun 2006 - 21:00 ,Paraguay,"rn"">Trinidad and Tobago",2.0,0.0
680,2006,21 Jun 2006 - 16:00 ,Iran,Angola,1.0,1.0
681,2006,21 Jun 2006 - 16:00 ,Portugal,Mexico,2.0,1.0
682,2006,21 Jun 2006 - 21:00 ,Netherlands,Argentina,0.0,0.0
683,2006,21 Jun 2006 - 21:00 ,C�te d'Ivoire,"rn"">Serbia and Montenegro",3.0,2.0
684,2006,22 Jun 2006 - 16:00 ,Czech Republic,Italy,0.0,2.0
685,2006,22 Jun 2006 - 16:00 ,Ghana,USA,2.0,1.0
686,2006,22 Jun 2006 - 21:00 ,Japan,Brazil,1.0,4.0
687,2006,22 Jun 2006 - 21:00 ,Croatia,Australia,2.0,2.0
688,2006,23 Jun 2006 - 16:00 ,Ukraine,Tunisia,1.0,0.0
689,2006,23 Jun 2006 - 16:00 ,Saudi Arabia,Spain,0.0,1.0
690,2006,23 Jun 2006 - 21:00 ,Togo,France,0.0,2.0
691,2006,23 Jun 2006 - 21:00 ,Switzerland,Korea Republic,2.0,0.0
692,2006,24 Jun 2006 - 17:00 ,Germany,Sweden,2.0,0.0
693,2006,24 Jun 2006 - 21:00 ,Argentina,Mexico,2.0,1.0
694,2006,25 Jun 2006 - 17:00 ,England,Ecuador,1.0,0.0
695,2006,25 Jun 2006 - 21:00 ,Portugal,Netherlands,1.0,0.0
696,2006,26 Jun 2006 - 17:00 ,Italy,Australia,1.0,0.0
697,2006,26 Jun 2006 - 21:00 ,Switzerland,Ukraine,0.0,0.0
698,2006,27 Jun 2006 - 17:00 ,Brazil,Ghana,3.0,0.0
699,2006,27 Jun 2006 - 21:00 ,Spain,France,1.0,3.0
700,2006,30 Jun 2006 - 17:00 ,Germany,Argentina,1.0,1.0
701,2006,30 Jun 2006 - 21:00 ,Italy,Ukraine,3.0,0.0
702,2006,01 Jul 2006 - 17:00 ,England,Portugal,0.0,0.0
703,2006,01 Jul 2006 - 21:00 ,Brazil,France,0.0,1.0
704,2006,04 Jul 2006 - 21:00 ,Germany,Italy,0.0,2.0
705,2006,05 Jul 2006 - 21:00 ,Portugal,France,0.0,1.0
706,2006,08 Jul 2006 - 21:00 ,Germany,Portugal,3.0,1.0
707,2006,09 Jul 2006 - 20:00 ,Italy,France,1.0,1.0
708,2010,11 Jun 2010 - 16:00 ,South Africa,Mexico,1.0,1.0
709,2010,11 Jun 2010 - 20:30 ,Uruguay,France,0.0,0.0
710,2010,12 Jun 2010 - 13:30 ,Korea Republic,Greece,2.0,0.0
711,2010,12 Jun 2010 - 16:00 ,Argentina,Nigeria,1.0,0.0
712,2010,12 Jun 2010 - 20:30 ,England,USA,1.0,1.0
713,2010,13 Jun 2010 - 13:30 ,Algeria,Slovenia,0.0,1.0
714,2010,13 Jun 2010 - 16:00 ,Serbia,Ghana,0.0,1.0
715,2010,13 Jun 2010 - 20:30 ,Germany,Australia,4.0,0.0
716,2010,14 Jun 2010 - 13:30 ,Netherlands,Denmark,2.0,0.0
717,2010,14 Jun 2010 - 16:00 ,Japan,Cameroon,1.0,0.0
718,2010,14 Jun 2010 - 20:30 ,Italy,Paraguay,1.0,1.0
719,2010,15 Jun 2010 - 13:30 ,New Zealand,Slovakia,1.0,1.0
720,2010,15 Jun 2010 - 16:00 ,C�te d'Ivoire,Portugal,0.0,0.0
721,2010,15 Jun 2010 - 20:30 ,Brazil,Korea DPR,2.0,1.0
722,2010,16 Jun 2010 - 13:30 ,Honduras,Chile,0.0,1.0
723,2010,16 Jun 2010 - 16:00 ,Spain,Switzerland,0.0,1.0
724,2010,16 Jun 2010 - 20:30 ,South Africa,Uruguay,0.0,3.0
725,2010,17 Jun 2010 - 13:30 ,Argentina,Korea Republic,4.0,1.0
726,2010,17 Jun 2010 - 16:00 ,Greece,Nigeria,2.0,1.0
727,2010,17 Jun 2010 - 20:30 ,France,Mexico,0.0,2.0
728,2010,18 Jun 2010 - 13:30 ,Germany,Serbia,0.0,1.0
729,2010,18 Jun 2010 - 16:00 ,Slovenia,USA,2.0,2.0
730,2010,18 Jun 2010 - 20:30 ,England,Algeria,0.0,0.0
731,2010,19 Jun 2010 - 13:30 ,Netherlands,Japan,1.0,0.0
732,2010,19 Jun 2010 - 16:00 ,Ghana,Australia,1.0,1.0
733,2010,19 Jun 2010 - 20:30 ,Cameroon,Denmark,1.0,2.0
734,2010,20 Jun 2010 - 13:30 ,Slovakia,Paraguay,0.0,2.0
735,2010,20 Jun 2010 - 16:00 ,Italy,New Zealand,1.0,1.0
736,2010,20 Jun 2010 - 20:30 ,Brazil,C�te d'Ivoire,3.0,1.0
737,2010,21 Jun 2010 - 13:30 ,Portugal,Korea DPR,7.0,0.0
738,2010,21 Jun 2010 - 16:00 ,Chile,Switzerland,1.0,0.0
739,2010,21 Jun 2010 - 20:30 ,Spain,Honduras,2.0,0.0
740,2010,22 Jun 2010 - 16:00 ,Mexico,Uruguay,0.0,1.0
741,2010,22 Jun 2010 - 16:00 ,France,South Africa,1.0,2.0
742,2010,22 Jun 2010 - 20:30 ,Nigeria,Korea Republic,2.0,2.0
743,2010,22 Jun 2010 - 20:30 ,Greece,Argentina,0.0,2.0
744,2010,23 Jun 2010 - 16:00 ,Slovenia,England,0.0,1.0
745,2010,23 Jun 2010 - 16:00 ,USA,Algeria,1.0,0.0
746,2010,23 Jun 2010 - 20:30 ,Ghana,Germany,0.0,1.0
747,2010,23 Jun 2010 - 20:30 ,Australia,Serbia,2.0,1.0
748,2010,24 Jun 2010 - 16:00 ,Slovakia,Italy,3.0,2.0
749,2010,24 Jun 2010 - 16:00 ,Paraguay,New Zealand,0.0,0.0
750,2010,24 Jun 2010 - 20:30 ,Denmark,Japan,1.0,3.0
751,2010,24 Jun 2010 - 20:30 ,Cameroon,Netherlands,1.0,2.0
752,2010,25 Jun 2010 - 16:00 ,Portugal,Brazil,0.0,0.0
753,2010,25 Jun 2010 - 16:00 ,Korea DPR,C�te d'Ivoire,0.0,3.0
754,2010,25 Jun 2010 - 20:30 ,Chile,Spain,1.0,2.0
755,2010,25 Jun 2010 - 20:30 ,Switzerland,Honduras,0.0,0.0
756,2010,26 Jun 2010 - 16:00 ,Uruguay,Korea Republic,2.0,1.0
757,2010,26 Jun 2010 - 20:30 ,USA,Ghana,1.0,2.0
758,2010,27 Jun 2010 - 16:00 ,Germany,England,4.0,1.0
759,2010,27 Jun 2010 - 20:30 ,Argentina,Mexico,3.0,1.0
760,2010,28 Jun 2010 - 16:00 ,Netherlands,Slovakia,2.0,1.0
761,2010,28 Jun 2010 - 20:30 ,Brazil,Chile,3.0,0.0
762,2010,29 Jun 2010 - 16:00 ,Paraguay,Japan,0.0,0.0
763,2010,29 Jun 2010 - 20:30 ,Spain,Portugal,1.0,0.0
764,2010,02 Jul 2010 - 16:00 ,Netherlands,Brazil,2.0,1.0
765,2010,02 Jul 2010 - 20:30 ,Uruguay,Ghana,1.0,1.0
766,2010,03 Jul 2010 - 16:00 ,Argentina,Germany,0.0,4.0
767,2010,03 Jul 2010 - 20:30 ,Paraguay,Spain,0.0,1.0
768,2010,06 Jul 2010 - 20:30 ,Uruguay,Netherlands,2.0,3.0
769,2010,07 Jul 2010 - 20:30 ,Germany,Spain,0.0,1.0
770,2010,10 Jul 2010 - 20:30 ,Uruguay,Germany,2.0,3.0
771,2010,11 Jul 2010 - 20:30 ,Netherlands,Spain,0.0,1.0
772,2014,12 Jun 2014 - 17:00 ,Brazil,Croatia,3.0,1.0
773,2014,13 Jun 2014 - 13:00 ,Mexico,Cameroon,1.0,0.0
774,2014,13 Jun 2014 - 16:00 ,Spain,Netherlands,1.0,5.0
775,2014,13 Jun 2014 - 18:00 ,Chile,Australia,3.0,1.0
776,2014,14 Jun 2014 - 13:00 ,Colombia,Greece,3.0,0.0
777,2014,14 Jun 2014 - 16:00 ,Uruguay,Costa Rica,1.0,3.0
778,2014,14 Jun 2014 - 18:00 ,England,Italy,1.0,2.0
779,2014,14 Jun 2014 - 22:00 ,C�te d'Ivoire,Japan,2.0,1.0
780,2014,15 Jun 2014 - 13:00 ,Switzerland,Ecuador,2.0,1.0
781,2014,15 Jun 2014 - 16:00 ,France,Honduras,3.0,0.0
782,2014,15 Jun 2014 - 19:00 ,Argentina,"rn"">Bosnia and Herzegovina",2.0,1.0
783,2014,16 Jun 2014 - 13:00 ,Germany,Portugal,4.0,0.0
784,2014,16 Jun 2014 - 16:00 ,IR Iran,Nigeria,0.0,0.0
785,2014,16 Jun 2014 - 19:00 ,Ghana,USA,1.0,2.0
786,2014,17 Jun 2014 - 13:00 ,Belgium,Algeria,2.0,1.0
787,2014,17 Jun 2014 - 16:00 ,Brazil,Mexico,0.0,0.0
788,2014,17 Jun 2014 - 18:00 ,Russia,Korea Republic,1.0,1.0
789,2014,18 Jun 2014 - 13:00 ,Australia,Netherlands,2.0,3.0
790,2014,18 Jun 2014 - 16:00 ,Spain,Chile,0.0,2.0
791,2014,18 Jun 2014 - 18:00 ,Cameroon,Croatia,0.0,4.0
792,2014,19 Jun 2014 - 13:00 ,Colombia,C�te d'Ivoire,2.0,1.0
793,2014,19 Jun 2014 - 16:00 ,Uruguay,England,2.0,1.0
794,2014,19 Jun 2014 - 19:00 ,Japan,Greece,0.0,0.0
795,2014,20 Jun 2014 - 13:00 ,Italy,Costa Rica,0.0,1.0
796,2014,20 Jun 2014 - 16:00 ,Switzerland,France,2.0,5.0
797,2014,20 Jun 2014 - 19:00 ,Honduras,Ecuador,1.0,2.0
798,2014,21 Jun 2014 - 13:00 ,Argentina,IR Iran,1.0,0.0
799,2014,21 Jun 2014 - 16:00 ,Germany,Ghana,2.0,2.0
800,2014,21 Jun 2014 - 18:00 ,Nigeria,"rn"">Bosnia and Herzegovina",1.0,0.0
801,2014,22 Jun 2014 - 13:00 ,Belgium,Russia,1.0,0.0
802,2014,22 Jun 2014 - 16:00 ,Korea Republic,Algeria,2.0,4.0
803,2014,22 Jun 2014 - 18:00 ,USA,Portugal,2.0,2.0
804,2014,23 Jun 2014 - 13:00 ,Australia,Spain,0.0,3.0
805,2014,23 Jun 2014 - 13:00 ,Netherlands,Chile,2.0,0.0
806,2014,23 Jun 2014 - 17:00 ,Cameroon,Brazil,1.0,4.0
807,2014,23 Jun 2014 - 17:00 ,Croatia,Mexico,1.0,3.0
808,2014,24 Jun 2014 - 13:00 ,Italy,Uruguay,0.0,1.0
809,2014,24 Jun 2014 - 13:00 ,Costa Rica,England,0.0,0.0
810,2014,24 Jun 2014 - 16:00 ,Japan,Colombia,1.0,4.0
811,2014,24 Jun 2014 - 17:00 ,Greece,C�te d'Ivoire,2.0,1.0
812,2014,25 Jun 2014 - 13:00 ,Nigeria,Argentina,2.0,3.0
813,2014,25 Jun 2014 - 13:00 ,"rn"">Bosnia and Herzegovina",IR Iran,3.0,1.0
814,2014,25 Jun 2014 - 16:00 ,Honduras,Switzerland,0.0,3.0
815,2014,25 Jun 2014 - 17:00 ,Ecuador,France,0.0,0.0
816,2014,26 Jun 2014 - 13:00 ,USA,Germany,0.0,1.0
817,2014,26 Jun 2014 - 13:00 ,Portugal,Ghana,2.0,1.0
818,2014,26 Jun 2014 - 17:00 ,Korea Republic,Belgium,0.0,1.0
819,2014,26 Jun 2014 - 17:00 ,Algeria,Russia,1.0,1.0
820,2014,28 Jun 2014 - 13:00 ,Brazil,Chile,1.0,1.0
821,2014,28 Jun 2014 - 17:00 ,Colombia,Uruguay,2.0,0.0
822,2014,30 Jun 2014 - 13:00 ,France,Nigeria,2.0,0.0
823,2014,30 Jun 2014 - 17:00 ,Germany,Algeria,2.0,1.0
824,2014,04 Jul 2014 - 17:00 ,Brazil,Colombia,2.0,1.0
