,Year,Datetime,Home Team Name,Away Team Name,Home Team Continent,Away Team Continent,Home_GDP,Home_POP,Home_INC,Away_GDP,Away_POP,Away_INC,Home_RK,Away_RK,Home_Rating,Away_Rating,Home_AverageRank,Away_AverageRank,Home_AverageRating,Away_AverageRating,Home_YearRank,Away_YearRank,Home_YearRating,Away_YearRating,Home_MatchesTotal,Away_MatchesTotal,Home_MathcesHome,Away_MathcesHome,Home_MatchesAway,Away_MatchesAway,Home_MatchesNeutral,Away_MatchesNeutral,Home_MatchesWins,Away_MatchesWins,Home_MatchesLosses,Away_MatchesLosses,Home_MatchesDraws,Away_MatchesDraws,Home_GoalsFor,Away_GoalsFor,Home_GoalsAgainst,Away_GoalsAgainst,Home_FIFA_RK,Away_FIFA_RK,Home_FIFA_PTS,Away_FIFA_PTS,Home Team Goals,Away Team Goals
40,1994,1994-07-04 12:00:00,Netherlands,Ireland,Europe,Europe,353550169672.52,15290368.0,19249.7571957292,52417477613.676,3576261.0,11914.8153483704,3.0,19.0,1995.0,1841.0,18.0,22.0,1798.0,1590.0,2.0,-8.0,27.0,-49.0,512.0,401.0,246.0,199.0,219.0,182.0,47.0,20.0,238.0,126.0,170.0,190.0,104.0,85.0,1075.0,529.0,802.0,826.0,2.0,14.0,59.0,53.0,2.0,0.0
41,1994,1994-07-04 12:30:00,Brazil,United States,South America,North America,368295777770.079,156849086.0,2032.88656301485,6858559000000.0,259919000.0,21808.806768977,4.0,54.0,1950.0,1619.0,5.0,47.0,1975.0,1589.0,-2.0,-21.0,-49.0,-68.0,590.0,284.0,244.0,130.0,192.0,125.0,154.0,29.0,359.0,87.0,108.0,138.0,123.0,59.0,1270.0,347.0,608.0,545.0,3.0,23.0,59.0,47.0,1.0,0.0
42,1994,1994-07-05 13:00:00,Nigeria,Italy,Africa,Europe,27752204320.0883,102700751.0,180.756996467496,1064958075550.63,56831821.0,15689.8087362547,30.0,2.0,1705.0,2000.0,43.0,8.0,1633.0,1901.0,4.0,2.0,21.0,20.0,333.0,507.0,134.0,246.0,140.0,192.0,59.0,69.0,145.0,270.0,91.0,107.0,97.0,130.0,512.0,942.0,384.0,557.0,11.0,4.0,54.0,57.0,1.0,2.0
43,1994,1994-07-05 16:30:00,Mexico,Bulgaria,North America,Europe,500736065605.341,88625440.0,4903.9868187735,10829710144.9275,8472313.0,1079.86944342138,10.0,24.0,1891.0,1789.0,22.0,38.0,1746.0,1614.0,14.0,-3.0,104.0,-15.0,428.0,457.0,173.0,174.0,142.0,242.0,113.0,41.0,219.0,164.0,108.0,181.0,101.0,112.0,823.0,679.0,461.0,730.0,16.0,29.0,51.0,44.0,1.0,1.0
44,1994,1994-07-09 12:00:00,Italy,Spain,Europe,Europe,1064958075550.63,56831821.0,15689.8087362547,525075636030.854,39361262.0,11566.0964820188,2.0,9.0,2000.0,1912.0,8.0,8.0,1901.0,1912.0,2.0,7.0,20.0,82.0,507.0,379.0,246.0,179.0,192.0,156.0,69.0,44.0,270.0,190.0,107.0,94.0,130.0,95.0,942.0,695.0,557.0,408.0,4.0,5.0,57.0,56.0,2.0,1.0
45,1994,1994-07-09 14:30:00,Netherlands,Brazil,Europe,South America,353550169672.52,15290368.0,19249.7571957292,368295777770.079,156849086.0,2032.88656301485,3.0,4.0,1995.0,1950.0,18.0,5.0,1798.0,1975.0,2.0,-2.0,27.0,-49.0,512.0,590.0,246.0,244.0,219.0,192.0,47.0,154.0,238.0,359.0,170.0,108.0,104.0,123.0,1075.0,1270.0,802.0,608.0,2.0,3.0,59.0,59.0,2.0,3.0
46,1994,1994-07-10 12:00:00,Bulgaria,Germany,Europe,Europe,10829710144.9275,8472313.0,1079.86944342138,2071323790370.28,81156363.0,21217.5746154056,24.0,1.0,1789.0,2015.0,38.0,9.0,1614.0,1883.0,-3.0,2.0,-15.0,21.0,457.0,612.0,174.0,269.0,242.0,261.0,41.0,82.0,164.0,343.0,181.0,145.0,112.0,124.0,679.0,1378.0,730.0,786.0,29.0,1.0,44.0,60.0,2.0,1.0
47,1994,1994-07-10 12:30:00,Romania,Sweden,Europe,Europe,26362894736.8421,22763280.0,847.00689191349,212953336588.123,8718561.0,19728.4177741595,21.0,12.0,1827.0,1883.0,28.0,15.0,1689.0,1784.0,-3.0,-3.0,2.0,-20.0,446.0,706.0,183.0,330.0,232.0,325.0,31.0,51.0,184.0,350.0,152.0,218.0,110.0,138.0,728.0,1580.0,657.0,1065.0,7.0,10.0,55.0,55.0,2.0,2.0
48,1994,1994-07-13 16:00:00,Bulgaria,Italy,Europe,Europe,10829710144.9275,8472313.0,1079.86944342138,1064958075550.63,56831821.0,15689.8087362547,24.0,2.0,1789.0,2000.0,38.0,8.0,1614.0,1901.0,-3.0,2.0,-15.0,20.0,457.0,507.0,174.0,246.0,242.0,192.0,41.0,69.0,164.0,270.0,181.0,107.0,112.0,130.0,679.0,942.0,730.0,557.0,29.0,4.0,44.0,57.0,1.0,2.0
49,1994,1994-07-13 16:30:00,Sweden,Brazil,Europe,South America,212953336588.123,8718561.0,19728.4177741595,368295777770.079,156849086.0,2032.88656301485,12.0,4.0,1883.0,1950.0,15.0,5.0,1784.0,1975.0,-3.0,-2.0,-20.0,-49.0,706.0,590.0,330.0,244.0,325.0,192.0,51.0,154.0,350.0,359.0,218.0,108.0,138.0,123.0,1580.0,1270.0,1065.0,608.0,10.0,3.0,55.0,59.0,0.0,1.0
